,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was soll den Verschleiß des seillosen Aufzuges minimieren?,0.9927583
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wurde der seillose Aufzug getestet?,0.9959899
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde ein seilloser Aufzug hergestellt?,0.9919204
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie entsteht ein seilloser Aufzug?,0.9707737
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann kann man die Zieletage in seillosen Aufzügen auswählen?,0.9965673
5,40372,Was wird in Sichuan angebaut?,Was wurde in Sichuan angebaut?,0.9956089
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Export bestimmte Produkt wurde in Sichuan produziert?,0.9961418
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wurde in den Gebirgen von Sichuan gezüchtet?,0.9984981
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Sichuan hergestellt?,0.9985373
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was geschieht, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?",0.9992569
10,40377,Was wird von Antennen abgestrahlt?,Was wurde von Antennen abgestrahlt?,0.9939596
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie entwickelt sich der elektrische Feldvektor einer Antenne?,0.98982
12,40379,Was ist eine Wendelantenne?,Was für eine Wendelantenne?,0.96509516
13,40436,Was ist das Hauptziel von Softwaretest?,Was war das Hauptziel von Softwaretest?,0.9963423
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu dragen die Ergebnisse von Softwaretests bei?,0.95431274
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum kann man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9971765
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen könnte, sondern auch andere Organe?",0.9985749
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,Wie wurde die Tuberkulose im 19. Jahrhundert behandelt?,0.9959045
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das erste Tuberkulose- Sanatorium eröffnet?,0.99430543
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?","Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu stoppen?",0.9972729
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was ist die Pneumothorax-Technik bzw. Pneumolyse?,0.9843255
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Werd zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.98435694
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Werd das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?",0.9837284
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis erhielt Robert Koch für die Entdeckung des Erregers von Tuberkulose?,0.998402
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was gehört zur Entwicklung des ersten Tuberkulose-Testes?,0.9641989
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann bei der Behandlung der Hauttuberkulose unterstützen?,0.9930908
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo war der FC Barcelona bei dessen Gründung?,0.9855212
27,40499,Was war das erste Stadion des FC Barcelona?,Was ist das erste Stadion des FC Barcelona?,0.99223554
28,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo findet das erste Spiel des FC Barcelona statt?,0.992032
29,40501,Was war die erste Spielstätte des FC Barcelona?,Was ist die erste Spielstätte des FC Barcelona?,0.9903804
30,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?,Wie viele Fans kamen in das erste Stadion des FC Bareclona?,0.9861288
31,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange dauert der Bau des Camp de Les Corts,0.9960174
32,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Museums Haus ist Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,0.9973206
33,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt liegt das Museo Frida Kahlo?,0.9950691
34,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe bekommt das Museo Frida Kahlo?,0.9905562
35,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem Stil ist das Museo Frida Kahlo entstanden?,0.9917418
36,40510,Mit wem war Frida Kahlo verheiratet?,Mit wem je Frida Kahlo verheiratet?,0.9720278
37,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was sind die Hauptprobleme der Aggregat-4 Rakete?,0.99781597
38,40536,Was waren die Hauptmotive für den Wettlauf ins All?,Was sind die Hauptmotive für den Wettlauf ins All?,0.9963226
39,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer war der größte Rosinen Exporteur der Welt?,0.99705493
40,40541,Welches Land ist der größte Safran Exporteur?,Welches Land hat der größte Safran Exporteur?,0.98895323
41,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,Wie viel Prozent des Irans werden für die Landwirtschaft eingesetzt?,0.99571383
42,36767,Was tauschen Bakterien mit Sexpili untereinander aus?,Was lösen Bakterien mit Sexpili untereinander aus?,0.97848856
43,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie lassen Bakterien auch ohne Sexpili DNA untereinander austauschen?,0.9923786
44,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele schwarze Menschen sind in Frankreich?,0.98906714
45,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher stammen die meisten Schwarzen Frankreichs?,0.99512124
46,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum gibt es in der französischen Regierung oft schwarze Minister?,0.9977251
47,36799,Wo leben die meisten schwarzen in Frankreich?,Wo sind die meisten schwarzen in Frankreich?,0.98810446
48,36800,Warum sind Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,Warum werden Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,0.9985287
49,36801,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,Wie viele Schwarze spielen in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,0.99326634
50,36802,Wer wurde 2005 als schwarze Frau Ministerin in Frankreich?,Wer war 2005 als schwarze Frau Ministerin in Frankreich?,0.9934442
51,41037,Was ist die beste Schweizer Fußball Liga?,Was sind die beste Schweizer Fußball Liga?,0.96487415
52,41044,Was ist der größte Leichtathletik Verein der Schweiz?,Was heißt der größte Leichtathletik Verein der Schweiz?,0.9770516
53,37175,In welcher Eritreischen Stadt Produziert Tesinma Busse?,In welcher Eritreischen Stadt hat Tesinma Busse?,0.9781583
54,41049,Welche Voraussetzung muss der Staatspräsident von Zypern erfüllen?,Welche Voraussetzung muss der Staatspräsident von Zypern haben?,0.9890622
55,41047,Wer ist das Staatsoberhaupt von Zypern?,Wer war das Staatsoberhaupt von Zypern?,0.9952947
