,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was  den Verschleiß des seillosen Aufzuges minimieren?,0.9971403
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In  deutschen Stadt wird der seillose Aufzug getestet?,0.98153687
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde ein  Aufzug entwickelt?,0.9929881
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie  ein seilloser Aufzug?,0.98980445
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man  Zieletage in seillosen Aufzügen auswählen? ,0.99764615
5,40372,Was wird in Sichuan angebaut?,Was  in Sichuan angebaut?,0.98240304
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches  den Export bestimmte Produkt wird in Sichuan produziert?,0.9967606
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen von  gezüchtet?,0.9933964
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Sichuan ?,0.9838382
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und  nicht übereinstimmen?",0.99352634
10,40377,Was wird von Antennen abgestrahlt?, wird von Antennen abgestrahlt?,0.96483976
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich der elektrische Feldvektor  Antenne?,0.9947076
12,40379,Was ist eine Wendelantenne?, ist eine Wendelantenne?,0.9703291
13,40436,Was ist das Hauptziel von Softwaretest?, ist das Hauptziel von Softwaretest?,0.964155
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?, tragen die Ergebnisse von Softwaretests bei?,0.9771488
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte man  Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9988746
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren,  die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?",0.999284
17,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?"," hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.99162346
18,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax- bzw. Pneumolyse?,0.99753577
19,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Wer hat zuerst  Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.9983516
20,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst,  beschrieben?",0.9981866
21,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für  Entdeckung des Erregers von Tuberkulose?,0.99944484
22,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur  des ersten Tuberkulose-Testes?,0.996578
23,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann bei der Behandlung der  helfen?,0.9904528
24,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo spielte der FC Barcelona bei  Gründung?,0.9975305
25,40499,Was war das erste Stadion des FC Barcelona?,Was war  erste Stadion des FC Barcelona?,0.99847937
26,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo fand das erste Spiel des FC Barcelona ?,0.97809076
27,40501,Was war die erste Spielstätte des FC Barcelona?,Was war die erste Spielstätte des FC ?,0.9822912
28,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?, viele Fans passten in das erste Stadion des FC Bareclona?,0.98084474
29,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange  der Bau des Camp de Les Corts,0.9928351
30,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Museums Haus hat  Kahlo abgesehen Vom Museo  Kahlo gewohnt?,0.9968173
