Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,71.06,68.03,66.31,72.17
DRC,70.64,67.43,65.43,71.41
DRQ,64.42,61.32,59.38,66.19
DVC,71.44,68.4,66.02,71.79
DVQ,67.66,63.73,62.5,67.89
RepeatRC,70.77,68.03,66.01,71.71
RepeatRQ,71.53,68.12,66.35,72.4
RepeatVC,71.4,68.46,66.16,72.15
RepeatVQ,71.07,68.14,65.7,72.34
ReplaceRC,76.26,71.21,69.08,76.25
ReplaceRQ,65.82,63.09,61.88,67.17
SplitRC,69.9,66.93,65.24,71.37
SplitRQ,66.43,64.97,62.68,69.05
SplitVC,70.74,67.57,66.04,72.39
SplitVQ,67.38,65.04,63.09,68.88
SwapRC,69.52,66.08,64.18,70.23
SwapRQ,68.28,62.63,60.4,68.32
