Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,55.31,52.45,48.63,57.03
IPC,55.63,52.36,50.14,56.85
IPQ,48.05,47.01,45.24,50.91
DCVC,54.76,52.36,49.46,56.44
DCVQ,51.54,48.41,46.91,53.72
DCRC,53.48,50.8,48.75,55.21
DCRQ,50.34,49.57,45.88,51.66
ICVC,55.17,52.68,50.05,56.85
ICVQ,50.95,48.55,46.32,53.04
ICRC,53.57,51.02,48.75,54.8
ICRQ,49.57,47.93,45.8,51.57
RepeatCVC,55.08,53.18,50.64,57.76
RepeatCVQ,51.54,49.73,48.32,53.81
RepeatCRC,53.8,51.03,48.88,54.94
RepeatCRQ,50.89,49.57,47.98,53.43
ReplaceCVC,55.04,52.81,50.36,57.26
ReplaceCVQ,51.27,49.64,46.55,53.81
ReplaceCRC,53.39,50.43,48.84,55.44
ReplaceCRQ,50.68,49.27,46.68,52.36
SCVC,54.95,52.59,50.45,57.17
SCVQ,52.59,50,48.09,54.54
SCRC,54.28,51.73,49.45,56.1
SCRQ,52.68,49.77,48,53.27
