Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,71.06,68.03,66.31,72.17
IPC,71.08,68.14,66.22,71.94
IPQ,62.81,61.28,60.82,65.51
DCVC,70.6,68.13,65.6,72.11
DCVQ,67.19,64.17,61.88,68.91
DCRC,69.96,66.82,65.16,71.54
DCRQ,65.57,64.72,61.12,67.37
ICVC,70.96,68.37,66.22,72.29
ICVQ,67.32,64.05,61.75,68.1
ICRC,70.32,67.32,65.23,71.2
ICRQ,65.09,63.75,61.17,67.43
RepeatCVC,71.07,68.96,66.16,72.64
RepeatCVQ,67.59,65.29,63.83,68.84
RepeatCRC,70.35,67.35,65.45,71.28
RepeatCRQ,66.36,64.68,63.27,68.85
ReplaceCVC,70.81,68.61,65.91,72.51
ReplaceCVQ,67.14,65.16,61.91,68.8
ReplaceCRC,70.54,66.38,65.15,71.61
ReplaceCRQ,65.7,64.74,62.4,68.04
SCVC,70.68,67.88,66.31,72.21
SCVQ,68.25,65.72,63.34,69.56
SCRC,70.47,67.82,65.92,71.69
SCRQ,67.74,64.98,63.06,68.16
