,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Wie kann der Verschleiß des drahtlosen Aufzugs minimiert werden?,0.9769769
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird der drahtlose Aufzug getestet?,0.9960101
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde der Seillift entwickelt?,0.9806217
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie funktioniert ein Seil-loser Aufzug?,0.99449044
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann müssen Sie die Zieldaten in drahtlosen Aufzügen auswählen?,0.99225616
5,40372,Was wird in Sichuan angebaut?,Was wird in Sichuan angebaut?,1.0
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches Ausfuhrprodukt wird in Sichuan hergestellt?,0.975023
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wächst in den Sichuan-Bergen?,0.9726133
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierischen Erzeugnisse werden in Sichuan hergestellt?,0.997467
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und einer Sendeantenne nicht übereinstimmt?",0.9954788
10,40377,Was wird von Antennen abgestrahlt?,Was wird durch die Antennen übertragen?,0.9804058
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich der elektrische Feldvektor einer Antenne?,0.99999994
12,40379,Was ist eine Wendelantenne?,Was ist eine Rotationsantenne?,0.98281074
13,40436,Was ist das Hauptziel von Softwaretest?,Was ist der Hauptzweck des Software-Tests?,0.9611003
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Welchen Beitrag leisten die Ergebnisse der Software-Tests?,0.9597831
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum wurde Tuberkulose erst im 19. Jahrhundert von anderen ähnlichen Krankheiten unterschieden?,0.9911539
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hätte gedacht, daß Tuberkulose nicht nur die Lunge, sondern auch andere Organe schädigen kann?",0.9873723
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,Wie wurde Tuberkulose im 19. Jahrhundert behandelt?,0.99185157
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das erste Tuberkulose-Sanatorium gegründet?,1.0
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",Wie wurde Ende des 19. Jahrhunderts in Großbritannien gegen Tuberkulose vorgegangen?,0.9880084
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet Pneumothorax-Technik oder Pneumolyse?,0.9944419
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Wer hat die erste Resektion der Lungen bei Tuberkulose durchgeführt?,0.9861104
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?",Wer beschrieb zuerst das Tuberkulosebakterium?,0.96687335
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis erhielt Robert Koch für die Entdeckung der Ursache der Tuberkulose?,0.9949987
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur Entwicklung des ersten Tuberkulose-Tests?,0.9985399
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Ernährung kann bei der Behandlung von Hauttuberkulose helfen?,0.98977447
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,"Wo spielte der FC Barcelona, als er gegründet wurde?",0.97817576
27,40499,Was war das erste Stadion des FC Barcelona?,Was war das erste Stadion des FC Barcelona?,0.99999994
28,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo war das erste Spiel des FC Barcelona?,0.9873329
29,40501,Was war die erste Spielstätte des FC Barcelona?,Was war das erste Stadion des FC Barcelona?,0.9834749
30,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?,Wie viele Fans konnten im ersten Stadion des FC Bareclona Platz finden?,0.9876307
31,40503,Wie lange dauerte der Bau des Camp de Les Corts,"Wie lange hat es gedauert, das Camp de Les Corts zu bauen?",0.9410109
