,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was  den Verschleiß des seillosen Aufzuges minimieren?,0.98502135
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In  deutschen Stadt wird der seillose Aufzug getestet?,0.9775136
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde ein  Aufzug entwickelt?,0.97858626
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie  ein seilloser Aufzug?,0.96229875
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man  Zieletage in seillosen Aufzügen auswählen? ,0.9960887
5,40372,Was wird in Sichuan angebaut?,Was  in Sichuan angebaut?,0.96572715
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches  den Export bestimmte Produkt wird in Sichuan produziert?,0.98894966
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen von  gezüchtet?,0.99063647
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Sichuan ?,0.9881612
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und  nicht übereinstimmen?",0.97820526
10,40377,Was wird von Antennen abgestrahlt?, wird von Antennen abgestrahlt?,0.9418248
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich der elektrische Feldvektor  Antenne?,0.9889905
12,40379,Was ist eine Wendelantenne?, ist eine Wendelantenne?,0.9674822
13,40436,Was ist das Hauptziel von Softwaretest?, ist das Hauptziel von Softwaretest?,0.96658564
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?, tragen die Ergebnisse von Softwaretests bei?,0.9603654
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte man  Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9986026
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren,  die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?",0.9951952
17,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?"," hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.975617
18,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax- bzw. Pneumolyse?,0.99484193
19,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Wer hat zuerst  Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.9968519
20,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst,  beschrieben?",0.99513054
21,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für  Entdeckung des Erregers von Tuberkulose?,0.9983247
